"treat_invite","pct_missing","mosques"
0,0.215949416,1.584786057
1,-0.121830747,2.765705347
0,0.330708891,2.958579779
1,0.098001465,1.194267511
0,-0.015865633,2.608695745
1,-0.981541693,1.25509882
1,0.102112085,1.030715346
1,1.301454663,2.565418243
0,0.187719867,0.434121996
1,0.592115164,1.54178226
0,1.083089709,1.131861925
1,0.293153077,1.359850407
1,-0.319424331,1.515151501
1,0.509477913,3.277494431
0,-0.297098339,3.687768936
1,0.423854858,2.624671936
1,0.593040109,2.589715242
1,0.637278676,2.083333254
1,0.409910321,1.717369914
0,0.773200929,2.662406921
0,-0.039437618,2.61324048
0,0.416196704,2.02934742
1,0.501007855,2.286236763
0,-0.253908157,2.031019211
0,-0.035433665,1.650164962
1,0.064895175,2.914036036
1,-0.096923165,2.324905634
0,0.221867606,0.9310987
1,-0.042685516,2.381661177
1,0.071013518,1.994017959
0,0.198028147,2.941176414
1,0.341069251,2.1875
1,0.244671419,1.65289259
0,0.120345846,0.8599931
1,-0.178851008,1.589825153
1,0.275662363,2.224919081
1,0.096103825,0.860215068
1,0.164858773,2.030685902
1,0.298288107,1.507840753
0,0.166607037,2.630809784
1,0.247481272,2.459016323
1,0.062081788,1.944984674
1,-0.24524194,0.247831479
1,0.776616216,0.474608451
1,0.775098681,0.911023378
1,0.043713659,0.587199032
1,0.657975972,0
0,0.417449087,0.75103265
0,0.179680213,1.958863854
0,0.44856301,0.854214132
1,0.18954429,0.371195257
1,-1.015057921,0.878992081
1,0.389469475,1.90476191
1,0.057242099,1.470948815
1,0.241912931,1.245717883
0,0.619234741,0.926784039
1,0.545313716,1.010100961
1,0.32839489,0.663129985
0,0.637842476,0.99502486
1,0.60355556,1.008064508
0,0.726054132,1.481481433
1,0.305389911,0.999500275
0,0.564634144,2.297090292
1,1.164048433,1.098096609
1,0.249475643,0.578201771
0,0.469110727,0.780031204
1,0.498423517,2.146580696
1,0.282686591,1.064962745
1,0.615885496,1.238236785
1,0.06033276,1.256281376
1,0.68051964,1.070281863
0,0.37353766,1.252348185
1,0.638377428,1.917282939
0,0.340049744,3.340757132
1,0.017075749,2.173913002
1,0.765497267,0.761324704
0,0.353851855,0.371747226
0,0.326138586,0.659444153
0,0.642881155,0.468274415
1,0.83986038,0.551800251
1,0.116611198,0.694685638
1,0.004405403,1.136880398
1,0.38411656,0.452693522
0,-0.116160482,0.353481799
1,0.13141264,0.142857149
1,0.003346716,0.651465774
1,0.545998275,0.70989114
0,-0.502127409,1.712328792
1,0.21507664,0.827129841
0,0.080167808,4.521963596
