"d_2008","r_2008","d_2004","r_2004","d_2000","r_2000","d_1996","r_1996","d_1992","r_1992","d_1988","r_1988","d_1984","r_1984","d_1980","r_1980","d_1976","r_1976","d_1972","r_1972","d_1968","r_1968","d_1964","r_1964","d_1960","r_1960","d_1956","r_1956","d_1952","r_1952","d_1948","r_1948","d_1944","r_1944","d_1940","r_1940","d_1936","r_1936","d_1932","r_1932","state"
862449,1034896,661699,937974,565561,785937,506283,573458,479514,577507,370554,606443,344470,615539,427560,441207,450825,346140,189270,478427,197486,254062,215700,309048,198129,188558,136372,75700,173004,168082,34423,5386,90601,4610,95470,4360,113791,1646,102347,1978,"South Carolina"
170924,203054,149244,232584,118804,190700,139333,150543,124888,136718,145560,165415,116113,200267,103855,198343,147068,151505,139945,166476,118023,149841,163010,130108,128070,178417,122288,171569,90426,203857,117653,129651,96711,135365,131362,177065,160137,125977,183515,99212,"South Dakota"
1087437,1479178,1036477,1384375,981720,1061949,909146,863530,933521,841300,679794,947233,711714,990212,783051,787761,825879,633969,357293,813147,351233,472592,634947,508965,481453,556577,456507,462288,443710,446147,270402,202914,308707,200311,351601,169153,328083,146520,259473,126752,"Tennessee"
3528633,4479328,2832704,4526917,2433746,3799639,2459683,2736167,2281815,2496071,2352748,3036829,1949276,3433428,1881147,2510705,2082319,1953300,1200000,2300000,1266804,1227844,1663185,958566,1200000,1100000,859958,1100000,969228,1100000,824235,303467,821605,191425,909974,212692,734485,103874,760348,97959,"Texas"
327670,596030,241199,663742,203053,515096,221633,361911,183429,322632,207343,428442,155369,469105,124266,439687,182110,337908,126284,323643,156665,238728,219628,180682,169248,205361,118364,215631,135364,194190,149151,124402,150088,97891,154277,93151,150246,64555,116750,84795,"Utah"
219262,98974,184067,121180,149022,119775,137894,80352,133592,88122,115775,124331,95730,135865,81891,94598,81044,102085,68174,117149,70255,85142,108127,54942,69186,98131,42549,110390,43355,109717,45557,75926,53820,71527,64269,78371,62124,81023,56266,78984,"Vermont"
1959532,1725005,1454742,1716959,1217290,1437490,1091060,1138350,1038650,1150517,859799,1309162,796250,1337078,752174,989609,813896,836554,438887,988493,442387,590319,558038,481334,362327,404521,267760,386459,268677,349037,200786,172070,242276,145243,235961,109363,234980,98336,203979,89637,"Virginia"
1750848,1229216,1510201,1304894,1247652,1108864,1123323,840712,993037,731234,933516,903835,807352,1051670,650193,865244,717323,777732,568334,837135,616037,588510,779881,470366,599298,629273,523002,620430,492845,599107,476165,386315,486774,361689,462145,322123,459579,206892,353260,208645,"Washington"
303857,397466,326541,423778,295497,336475,327812,233946,331001,241974,341016,310065,328125,405483,367462,334206,435914,314760,277435,484964,374091,307555,538087,253953,441786,395995,381534,449297,453578,419970,429188,316251,392777,322819,495662,372414,502582,325358,405124,330731,"West Vriginia"
1677211,1262393,1489504,1478120,1242987,1237279,1071971,845029,1041066,930855,1126794,1047499,995847,1198800,981584,1088845,1040232,1004987,810174,989430,748804,809997,1050424,638495,830805,895175,586768,954844,622175,979744,647310,590959,650413,674532,704821,679206,802984,380828,707410,347741,"Wisconsin"
82868,164958,70776,167629,60481,147947,77934,105388,68160,79347,67113,106867,53370,133241,49427,110700,62239,92717,44358,100464,45173,70927,80718,61998,63331,77451,49554,74573,47934,81047,52354,47947,49419,51921,59287,52633,62624,38739,54370,39583,"Wyoming"
